Name_C,Name_E
總資產,Total asset
淨利,Net income
股東權益,Equity
長期債務,long-term debt
股利,devidend per share
超過規定的股利//比較像是特別股,Discretionary dividends 
股價,price per share
貸款總額 ,total laons
呆帳提列 ,loan loss provisions
存款利息支出,interest expense on deposits
存款 ,total deposits
利息收入 ,interest income
總負債 ,total liabilities
非存款負債佔總資產的份額,share of total assets funded by non-deposit liabilities
,annual change in total assets
銀行逾期放款 ,Non-performing loans
貸款總額 ,gross loans
總銷售額 ,total sales
營運現金流,operating cash flow
每股盈餘 ,Earnings per share (EPS)
總債務 ,total debt
淨值,total book value
,market capitalization
非利息收入,noninterest income
總收入,total income
,Age of the bank
,Interest Rate
